video_id,like_count_mean,like_count_sum,like_count_std,comment_length_mean,comment_length_std,word_count_mean,word_count_std,total_reply_count_sum
-46Vyiwat_Y,2947.2,88416,8580.54,60.27,48.1,10.5,9.22,223
-6YiD77uWD8,3.0,21,3.56,90.71,80.68,18.43,17.11,0
-7Sl5cnxMxw,99.97,2999,219.44,57.1,39.19,11.0,7.46,18
-8VOMX5JYoQ,68.9,2067,140.2,110.17,104.71,20.03,18.87,23
-ZscZv-IMyI,166.3,4989,440.92,186.83,170.38,32.77,33.1,57
-dw8fYgBK1I,2.36,26,4.08,63.18,38.85,12.64,7.71,4
-evuAUsB0mo,0.8,4,1.1,42.6,31.75,9.0,6.44,0
-hzWbMy0CBg,48.17,1445,157.6,92.47,82.75,16.83,14.79,43
-lzlQCtT1rU,8.07,242,22.7,41.1,38.06,7.73,7.32,0
-m7DLiFH-CE,14.77,443,34.96,96.57,63.81,17.7,11.86,11
-mSBv-BLv6M,4.17,25,5.78,117.67,75.84,22.83,15.37,1
-r2SH6EH5eY,41.53,1246,101.95,161.4,169.16,28.9,30.05,25
-rbbOf5upaU,47.4,1422,195.1,94.2,90.12,17.47,16.25,39
-rrYftR8UeA,2.8,28,5.31,142.5,151.23,26.7,29.19,0
-rzB-xeYZJI,10.0,300,24.55,44.27,37.8,8.17,6.66,14
-ycyXg3s4gs,0.89,25,1.81,79.18,75.2,15.39,13.34,5
0-KLzTzLk0E,4.47,134,7.94,69.33,62.99,13.5,11.82,6
06aaT3kZdkE,11.3,339,20.16,212.97,295.72,40.53,56.49,18
0E9ZcyCpMIs,17.63,529,43.36,269.53,188.15,49.23,33.63,46
0EJF8dRNLyQ,6.8,204,14.34,71.37,52.94,13.13,9.34,11
0K1nA46Bink,10.4,312,26.46,47.07,32.83,8.93,6.45,10
0Mzj2i7Z8uE,720.27,21608,1745.28,34.6,30.15,6.43,5.1,89
0VjvUUHsuYs,83.0,2490,163.86,112.17,104.16,20.8,18.21,20
0duNfnP8Z50,51.07,1532,120.44,123.6,182.81,22.5,32.43,21
0hK9eFWorEU,7.33,220,15.24,61.37,89.52,11.17,14.0,9
0iaU9VZXKUQ,27.37,821,62.36,176.53,142.79,32.03,25.28,26
0l5tcF6Rao0,336.57,10097,842.31,100.03,187.12,18.13,33.84,44
0mE919RsXOc,1.7,17,1.7,74.9,84.36,13.7,13.76,1
0rkRC728rIU,151.23,4537,506.65,122.67,111.46,22.7,21.01,63
1-6H_Xq9XjI,0.71,5,1.11,137.86,211.24,25.43,38.21,0
15lyO5qmtg0,42.5,1275,98.65,97.4,64.94,17.53,12.27,20
19pxHEcEa6I,13.14,184,36.04,61.14,50.68,11.29,10.42,5
1ArVtCQqQRE,2041.37,61241,6725.09,58.23,47.21,10.9,8.7,661
1EyBVAwasHk,47.17,1415,138.4,97.6,74.43,16.8,11.89,33
1G2ltEiSYBw,17.2,516,33.33,221.93,186.74,39.43,33.26,8
1K-yiSBN8p4,7.0,98,11.84,92.93,67.94,14.93,10.28,6
1XsEZn5xlno,4.38,127,9.46,76.31,64.44,13.72,12.02,1
1ZPiBcz3nSc,19.83,595,43.07,66.9,49.7,12.43,9.53,23
1dIU1YhZX94,23.97,719,47.52,278.13,497.69,50.57,87.28,16
1gS5v6EMaSc,210.83,6325,669.43,101.0,83.45,18.27,14.7,62
1lMCGdVAgGQ,78.13,2344,247.87,129.3,221.32,23.77,40.16,34
1s3QPW3raN0,9.23,277,28.05,75.73,72.37,13.5,12.28,10
1tosGFzwQHo,43.4,1302,128.13,51.13,54.15,9.1,9.86,23
1wLNDHVQxU4,1.6,8,2.07,59.0,62.58,10.6,11.63,1
2BgZSxMu5oI,1.18,33,2.26,103.21,104.97,20.25,20.61,8
