video_id,comments
-46Vyiwat_Y,"['Imagine being a Junior Doctor and still having the time and motivation to make clear, concise and helpful youtube videos educating others. MACHINE.', 'Jack Ball 💁\u200d♂️💁\u200d♀️😩', ""I've always wondered how he does it? Shouldn't working full-time as a Junior Doctor leave you knackered, with precious little time to spare?"", 'He runs a six-figure business too', 'He must be a genius', ""@@hamidalharbi5329 What's his side business?"", '*How I ranked first?*\n\n*I’m crazy smart and have an insane work ethic*', 'How to be last : say other are crazy smart or crazy good or crazy worker or crazy lucky and go back eating chips in front of youtube.', '@@choanlpoto this is an attack on me personally', 'my boi Ali is wickd smaht', ""@Solidsilenceful so I'm guessing your friend got second?"", 'OAAC Médias well damn. Now I know why I’m last. I’ve been complimenting people too much.', 'This video politely shook my hand, called me stupid and slapped me for not studying more.', 'Wanna know how Sri Lanka sounds like?\r\nhttps://www.youtube.com/watch?v=ld7OlhHU7_Y', ""@@stardustmixture no thanks, I'm good."", ""@@stardustmixture nada I'm good"", '@@stardustmixture No thanks, but thank you  :)', '😂😂😂', 'Brothers and sisters out there, please keep away your parents from seeing him😑', '😂😂😂', 'Lolol', 'My Asian mom can relate', 'really 😂🤣', 'My African mom watching me daily: 👁 👄 👁', 'How I ranked 1st at Cambridge University\nAnswer: He studied more than anyone else in the history of studying.', 'You clearly didn’t listen to the video.', '@@bismarcko4847 Then how come what I said is so accurate?', '@@GaryMcCaffrey lmaooool😂😂🌚', ""@@bismarcko4847 are you going to pretend that what he's doing is not 20000 times more work than most uni students lololol"", '@@Piranessy I go to LSE and ranking first isn’t that difficult. We get at least 3 students who the faculty has to pick from so I don’t know why you lot are acting as if it’s hard to do it.']"
-6YiD77uWD8,"['I love all the soundtracks that you put in all your videos! Very nice editing skills i must say :D 💯💯', 'I am actually studying you and your habits. So decided to stàrt from the vlog 1 after watching you for more than a year and I felt like all most the same in your confidence towards the camera. I will learn a lot from you. Ps give a heart if u r reading this.', '""Hello i\'m a finals years medical student - I go to Cambridge"".\xa0 @ 3:20 ""Do you want to do ABC?""\xa0 LOL', 'I must say, this video was so enjoyable to watch! Thanks for sharing!', '""2HOURSLater"" is what I wait to smile.It\'s so funny!🤣🤣🤣🤣🤣', 'Too good!', 'WHY WAS I NOT THERE????? ALI I HAVE FOMO']"
-7Sl5cnxMxw,"['imagine if the whole video was just ali laughing at memes and moving on without explanation', 'Jade Hsin i agree....', 'That would be a new meme', 'No one:\n\n\n\nAli: explains memes', 'THIS IS GOOD', 'me: laughs along as if i understand any of these memes', 'I just wanted to let you know that I scored better than ever with active recall and spaced repetition in med school cause of you <3', 'Jessica yeah but the last thing we need is another woman in medicine', '1Nate987 why would you make such a comment?', 'Jessica congratulations', '1Nate987 \nThe last thing we need is your presence here', '@@lunaxzo2431 oof', 'Cambridge medical students sense of humour must really be niche because  didn’t get half of the memes haha....or maybe it’s just me.', ""I thought you would've gotten the jokes since you're also a doctor?"", ""@@kharecha14nk I mean I get them , most of them just didn't make me laugh as they did ali 😀"", ""I didn't get anything\nSo, i just laughed when he did"", 'Imagine a collab with Dr Mike', '1:41 - Man you know the jokes funny when the guy telling the joke has to tell you it is.😂', 'I think that audit meme is actually trying to say how med students get roped into doing audits for the trust / consultant and tend to get forced to collect loads of data collection', 'That girl wants to go into the sewer from what I saw', 'This is a different breed of humor, I love it!', 'I love your meme explanations bruh', ""I just came to comment you're awesome, I don't really care about the memes."", 'WHERE ARE THE TIME STAMPS FOR THIS VIDEO!!!!!!!!!😝', 'right 😭', 'LMAOO what is he gonna say? “Heart meme”?', '12:45 The way he advertised was just brilliant!', 'I loved it. It would be  fun to see another one', 'First year undergrad here. Glad I at least understood the phineas gage reference. 😂', 'aPRIL 😂😂 got me good! 🤣']"
-8VOMX5JYoQ,"['i just noticed how my listening skills aint actually as bad as i thought since i could easily keep up with his speed lol', 'same here', ""0.75x amd you're good to go!"", ""i didn't know what you meant and then he started talking...."", ""Here's me listening at 2x speed lol..."", 'This was extremely helpful! Thanks on behalf of 58K of us!', ""Dude you sound like you're on 1.5x speed"", '@@aliabdaal i tried to watch on 2x speed as i was short on time...big mistake', ""I checked thrice if I haven't done it by mistake."", 'I actually checked my speed thinking it was on 1.5X', 'It’s appreciated, after watching all my lectures on x1.75, normal ppl speaking seems so slowww', '@thakkumikku may be', 'Ali thanks for the video .Foreign medical graduate here  I recently completed the PLAB exams and will be moving to the UK soon. Its good to see how the other side looks like ! love the content', 'Bro do foreign graduates need to do 2 year foundation course?', 'Holy shit....I wondered why I recognised you......you did a placement in my ward. Older age psychiatry. That’s all I’ll say. I’m planning on joining my medicine degree next year. The fact you made this video inspires me so much. Thank you!', 'Liking the new illustration tool!', 'can I ask what is the name of illustration tool?', ""Mate this was even incredibly useful as someone who's heading into FiY1 shortly, weird that I've never had specialty and core training explained to me during 6 years at uni lol, hope you got what you wanted in the end!"", ""3 years later and he's fully stopped working in medicine. Crazy to think. By the way which uni/course were you on for 6 years?"", ""some of the worst doctors I've ever had in my life were the highest graduation standards from medical school.\nI have definitely learned over the years that the scores of a doctor definitely do not reflect on their ability to practice medicine"", 'The age limits are so upsetting and intimidating to a mature student!', 'Z V They’re just extreme generalisations. Most people will be older and many students joining medicine will, for sure, be graduate medicine students.', ""@@carebear8655 they're not extreme generalisations, I don't know what medical school you're at but most year 1 medical students in my year are indeed 18/19 yo. A few are older but the majority are late teens since we apply while in school, so it's accurate to say 24.\nObviously unis that have a purely graduate medical course will have signicantly older students but either way no one really cares if you're 35 on the course because some people in my year are"", 'Enjoy the journey rather than hope for happiness at the end', ""It's okay every age is new start💜"", ""Hey Ali, thank you for such an elaborate yet contained explanation of the medical training in the UK. Having UK as one of my choices for medical training as a foreign medical graduate it really is nice to have this info panned out so I know what I'm getting myself into after the entrance exams. Good luck on your journey !"", ""I'm exhausted just listening :-("", ""Imagine going through 5 years of medical school, only to find out you can't work where you want. Must be pretty lonely having to move to the middle of nowhere to start a new job, not knowing anyone"", '@MrDigBick 69 yeah', '@MrDigBick 69 I think it’s because most unis got an entire building specifically for medicine , generally near a hospital, making it a school of medicine~ medschool']"
-ZscZv-IMyI,"['📖Check out my book Feel-Good Productivity here: https://www.feelgoodproductivity.com/?utm_campaign=preorder&utm_source=youtube_long&utm_medium=pinned_comment&utm_content=6+Side+Hustle+Ideas+for+Students+in+2023', 'Action point will write to you with a proposal :)', ""I'm 22 and having a debt & only few days left to arrive due date and that being a reason I was desperatley looking for a way to make money and get free of debt.\nThankfully, I found value & Idea from your video.\nNow I'm gonna see what value I can provide to my future clients."", 'sir did you learn how to code at the age of 13?', '6. POINT IM GOING TO APPLY AND ALREDY STARTED , LEARNING FRONT END RIGHT NOW , THANK YOU ALI FOR MAKING THIS AWESOME VIDEO', ""Tried to purchase on Audible, it looks like it's not available until a few months from now. Any other way to purchase an audio version?"", 'Side hustles mentioned; \n1) Writer\n2) Content curator\n3) Thumbnail designer\n4) Research assistant\n5) Remote sales rep \n6) Web designer', 'just become an artist and PHD research assistant 😂', 'Thank you brother', 'Terrible side hustles waste of time VIDEO!', 'Thank you bro, Cause that guy walks alot', ""\u200b@@dereksmith2137they're not terrible just particularly specific and require background skills. You need a connection for it because they're more or less jobs than side hustles."", ""Account of mine also got hacked and I followed the method as explained in this video but I'm unable to proceed after recording the selfie video. Thank you Dale Valskov . It brings me immense joy to witness his name appearing frequently in comments, a clear indication of the commendable work he’s been doing."", ""Hey ppl, I'm a retired computer/IT person, Yet I still find Dale Valskov so informative and straight forward. Thanks for your advise and helping the people...........Great work and love watching."", 'What did you loved about it?', 'Building wealth requires disciplined habits, such as consistently setting aside funds for reliable investments. Effective financial management is a critical topic that many avoid, often to their detriment down the line. Earning money is one thing—preserving and growing it is another.', 'Investors should carefully manage their exposure and be cautious with new acquisitions, particularly during periods of inflation. Achieving high yields in a recession is often only feasible under the guidance of a professional or a trusted advisor.', ""I'm glad you found this information helpful! As a newcomer, I know how challenging it can be to stay informed and make sense of it all. Am I a pro investor? Not at all. I rely on tools like Monitor Edge to track my portfolio, which generated an impressive $473k in profits over the past two quarters. This experience has shown me why seasoned traders achieve substantial returns in what seems like a complex market. It's the boldest decision I’ve made recently."", ""After the 2008 financial crisis, I learned not to place my full trust in corporations. Since 2020, I've been investing with a financial advisor, and I've avoided any major losses. As a result, I'm no longer relying solely on banks for my financial strategy."", ""I'm currently looking for guidance on portfolio management. Could you refer me to your advisor?"", 'I consistently recommend Rebecca Lynne Buie as my top choice. She is well-known for her expertise in financial markets and has an impressive track record. I highly endorse her services.', 'To the person who is reading this, don’t give up on your side hustle search. Keep going it’s going to get better.', 'I needed to read this today! Thank you!', ""Action points:\n* Doing further research on each side hustle\n* Figuring out which one is going to need short term and medium dedications\n* Space that out in alignment with my academic schedule\n* Get started with trial and error as soon as I can\nFunny enough I used to watch your videos in high school, weird how i'm in my last two years of uni and i'm still learning from this channel"", ""Ali! I don't think I've ever actually commented on a video but I am completely in awe of your ability to deliver such quality content. As a science/business student who previously thought he was both time and money poor, I now realise that whilst I might not have much to my name at the moment, I have more time now than I ever will - you've actually changed the way I see the world! Action point for me is recognising that I don't need to be an expert in anything to start nurturing skills to future proof myself and begin to build a life I'll enjoy. Just wanted to say a big thank you for all of your content and hard work. \n\n👑4.7M subs isn't even close to what it should be! Keep it up!! 👑"", '❤', 'I can help you with commission based business let me know if you are interested.', 'Having someone like you who’s not only a great innovator but also pulls his best to get the work done so beautifully needs nothing but appreciation. Dale Valskov Thanks for the well off work you consistently bring your all and I truly appreciate that. Thank you for making corporate life so smooth. Proud to have you on our team. Great work as always.', ""40 is not too late to start. My science career didn't start paying me a significant salary until I was in my late 30s. Until then I was getting $30k/yr. I took the advise of my guide who i mirror her model then it rocketed up to $100k/yr in my 40s. I started saving $1600 per month into my 401k. The trick to saving is to NOT grow your lifestyle to match your salary. I retired early in my mid 50s with close to a $2M net worth and over $1M invested. For safety, I did not dip into retirement savings and allowed it to continue to grow as I approached 60."", '@DianaKittell Linda Renae Allman']"
-dw8fYgBK1I,"['Too bad we never got to see the whole series, but I am still glad they uploaded them up to this point ☺', 'they never got past the coding stage :(', 'Damn I was excited to watch the whole series😢', 'i was looking forward to ep 6 😢', 'Hs d app released yet?', 'Hey Ali. I love this series. When is the app being released?', 'Ali Abdaal thanks for this. i hope you both release this app in the near future. it sounds like a really good idea that will help many people', 'Ali Abdaal its be nice to know those roadblocks or if you implemented cut and paste  features in 6med', '@@aliabdaal Considering making an update? I was pretty excited myself for this app', 'Where’s episode 6???', 'this cant be another good thing coming to an end :(']"
-evuAUsB0mo,"['This exactly what I needed 😅', '🎉 very well stated those 4 hacks and it’s modern compensation was 💯 😅', ""Ali sir I'm your big fan ❤...as a 17 y/o I find ur videos helpful for everything"", 'Op', 'Why I think this channel is dying!']"
-hzWbMy0CBg,"['For anyone considering a purchase: The one downfall that made me remove my first Paperlike was the fact that if I wanted to record any audio from lectures, the noise from writing on the screen protector would just overpower everything else, so keep that mind if you ever do the same. Otherwise, I loved it.', 'WOAH DIDNT EVEN THINK OF THIS!!! Wow thanks for that', 'Huge', 'RL oh wow thanks for telling!!', 'RL thank you for this perspective, that is a very important factor for me', 'U can use a pencil tip cover to reduce the noise', 'Monitor Company: How wide do you want your monitor to be?\n\nAli: Yes', 'They sent it to him for free my dudes', 'I laughed out loud reading this! 🤣', ""LOL I couldn't stop looking at it"", ""I actually LOL'ed"", ""Paperlike has always been the most overpriced screen protector.  They're the most well known because they pay YouTubers to fawn over it ( e.g. this one). In independent reviews they're no more better than cheap matte protectors on Amazon that are a third the price."", 'I get you have to make your money but cmon now lol I bought a matte screen protector (two pack) for $9 on amazon, works and does the same as this one', 'That’s true for the V1, but the V2 should be more clearer', 'I bought the paperlike after watching his first video, and it cost me £20 and its the worst thing ever please do not buy this', 'Poltergeist Regardless of the V2 being better than the V1, the screen protector I bought still serves the same purpose very well while spending half the price of the paperlike', 'Link ?', 'Will M I got u fam https://www.amazon.com/iCarez-Updated-Anti-Glare-Protector-Compatible/dp/B07GZMMYHT', '1:25 It pretty much a no brainer to be careful trusting a youtuber that get paid each time you buy this product via his link...', 'lmao he liked it and then u edited it', 'Fangus No, if you edit the comment it removes the heart automaticly to avoid people editing their comments to say different things with the heart still showing.', '@@diesertyp7822 sorry Karen', 'I ordered the Elecom from Japan and it’s almost perfect for writing on- everything about it is better than the PaperLike v1. \n\nUnless the v2 is a big step up from v1 then it’s probably not worth waiting for when there are plenty of other products available that surpass the PaperLike v1.', 'Dang, that’s monitor goals', 'The product is nice, but the shipping charge is more.', 'The product is nice, but the shipping charge is trash**', 'Vasanth Swaminathan if u can afford the ipad and apple pencil, im sure u can afford the product and shipping.', 'Muhammad Azeem Iftikhar of course we can afford it. However, that doesn’t mean wasting it on overpriced shipping is a good use for it. Keep wasting  $ and  your upkeep will be your downfall.', '@@trentgilliam5192 you got the point!', 'Vasanth Swaminathan  hey is the paper like screen good for gaming too ? Is it smooth ?']"
-lzlQCtT1rU,"['Newtons law of motion huh. That is legitimately good advice', 'Ali is OG in productivity!😎', ""As a science student, I loved how u added newton's first law in the video :)"", 'Loved it... Loved it', 'The quality of your vids are insane !', 'You are a genius!', 'I love where it ends\n\nand that’s why', 'great practical advice 👏', 'Clean edits and great information!', 'that is why.', ""The 1st NLM analogy was great! I'll try it too"", ""Ce sont les nuances de travailler dans la vie que je me disais et franchement, j'ai actuellement gagné les résultats 💜"", 'Thanks ali', ""You're the best"", ""I'm such a sucker for the first one, if I have 'all the time' I take 'all the time' but gym before work, efficiency goddess. On the clock I also don't struggle, it's just my own time I disrespect."", '3rd point❤️', 'I love the editing of this video!', 'I like the movement', 'Love this format! Keep going Ali  and team', 'You are amazing as always - God bless you', 'You were born Doctor brother\nYou are treating everytime you speak', ""1)Parkinson's Law\n2)Pareto Principle\n3)Newton's First Law Of Motion"", ""😁 Yah, that's great: To the point(s)!"", 'Thanks', 'I paid skillshare for the same content 😭', 'INCOMPLETE VIDEO. Ends without proper outro', 'Great tips', 'Christmas music, I love it', 'Nice loop', ""I love your videos. They're so interesting and insightful""]"
-m7DLiFH-CE,"[""This was so much fun Ali!\n\nThanks for having me.\nFor anyone who is starting University in September, I SINCERELY hope this video helps you guys out. \nUni is amazing and once you start, you don't really want it to end <3"", ""Your talk about not necessarily having to go clubbing in freshers week has reassured me a lot! Many YouTubers I have watched freshers videos from put a lot of emphasis on drinking and I was super worried about not fitting in if EVERYONE was the 'party crowd'. Im a bit less nervous now!"", ""Yes! You don't have to follow the crowd. There will be loads of people in the same boat as you :)"", ""Urm well isn't Matticus pretty gorgeous 😍😂"", 'Going to start university in a week. Your video helped out a lot. Thank you. Keep making great content!', 'Perfect Back to school video, this guy knows his audience!! Lots of good and exciting advice', ""I didn't believe my eyes when I saw the thumbnail. Two quality channels come together, great stuff! :)"", 'Elliot Falkner thanks pal! Hope it helped you out :)', ""Got 4A*s in my A-levels so I'll be starting Medicine at Cambridge in October! Super hyped for this video!!"", ""Thank you!! I'll be at Robinson!"", 'Mad!! Congrats and good luck!!!!x', 'Omg well done! My friend is going to the same college as you!', ""honestly cant tell if you're tryna be sarcastic or you havent caught on yet haha lav you xx"", 'I’m being sarcastic 😂 I saw your name', 'Ali man. Ur an amazing person. thanks for making our lives easier', ""I'm a PT student myself and having undergone academic ups and lows, following study tips from healthcare professionals might just be the wisest for most freshers :)"", 'Amazing. PT is such a rewarding profession! :D', 'I’m so glad to have found your channel before my first year 🙏🏾 Thank youuu :)', 'Reasonably priced is an understatement', 'Starting at Barts in September, buzzing for it. Thanks for the video!', 'And this is the video, when Ali Abdaal start to become ALI ABDAAL: The King of Study Tips of YouTube !!!!', 'Thanks for the video Ali. I start college within the next few days and watching this along with some of your other videos, has helped me feel more prepared and more comfortable going into college.', ""Omg this video was Soo needed! It's so nerve wracking 😭 really entertaining too! Loved the video :)"", ""you know, I never felt guilty for not studying instead I watch Ali Abdaal's videos bcs it has a lot of personal growth stuffs.. Long-term life learning advice that I really need. But I need to study. Help"", '2:00 but wont that invite complete strangers and possible thefts? or what if you forget to close your door at night and you get strangled in your sleep?', 'Strangled 😂😂', 'Nice video Ali and Matticus. Keep going with these videos they’re very helpful.', 'Yasin Mazıbaş glad it helped mate :)', 'Thankyou! This video is helpful and informative!  Made me feel less nervous about freshers week and moving out to uni!', ""I really appreciate your spirit of helping everyone's and me also. Love your videos.""]"
